text,image_path,username
"Hurricane Sandy. We are coming for you. http://t.co/WLWJ8krG",,miaziervogel
"BREAKING: Scientists discover cure for cancer using simple household ingredient!",,"healthnews247"
"Just had the best coffee at the local cafe ☕️ #morningvibes",,coffeelover
"ALERT: New study shows vaccines cause autism - share before deleted!!!",,truthseeker999
"Beautiful sunset today at the beach 🌅",,"naturephotographer"
"Click here to win a FREE iPhone! Limited time offer! http://totally-legit-site.com",,"contestalerts"
"Reading a great book about machine learning. Highly recommend!",,techreader
"SHOCKING: Celebrities don't want you to know this one weird trick!",,"viralstories"
"Congratulations to the team on launching the new product! 🎉",,"corporatecomms"
"URGENT: Government hiding evidence of alien contact! WAKE UP SHEEPLE!!!",,"conspiracywatch"
